Name,radio_id
"W4HI","1112100"
"W7RCW","1112156"
"WB4OQF","1112160"
"KD8AAK","1126463"
"K8RJW","1139647"
"2E0LPZ","2348108"
"VE3JAR","3023571"
"KA4JON","3100543"
"K1TSN","3101168"
"WK2Y","3101995"
"N4MPC","3103298"
"N4TQU","3103912"
"NI4Y","3105984"
"KM4IKO","3108457"
"KK4E","3109959"
"KN4MSH","3110708"
"K4NDC","3111096"
"N0GHT","3113010"
"AC2I","3113017"
"W1KFR","3113032"
"KE4QDC","3113038"
"KC4ZUB","3113059"
"N4KWJ","3113080"
"N1KDO","3113090"
"W4AMP","3113104"
"KB4KFT","3113109"
"KD4CVR","3113110"
"N3GWT","3113114"
"W2FAL","3113116"
"K4AWF","3113140"
"K4KAH","3113141"
"W4JEW","3113156"
"KI4KER","3113167"
"K4DBN","3113170"
"KA3JIJ","3113209"
"K4YGD","3113213"
"KC4I","3113215"
"WA4RVO","3113234"
"WW4MO","3113236"
"KC4ZGK","3113239"
"N4XPR","3113267"
"N4LNE","3113285"
"KJ4VO","3113297"
"NR4N","3113300"
"KJ4QJB","3113326"
"KD4SEV","3113336"
"W4RIN","3113337"
"AI1U","3113338"
"AF1G","3113348"
"W2WTF","3113351"
"KD4ICT","3113356"
"AF4CZ","3113378"
"N4JAP","3113380"
"KJ4CUY","3113392"
"KF4OLM","3113394"
"K4BBL","3113399"
"KM4UJP","3113420"
"K4HDE","3113421"
"KK4KHS","3113425"
"W3CP","3113428"
"WB2OGY","3113431"
"W4TGA","3113436"
"K4DO","3113437"
"AD4V","3113442"
"KT4CV","3113451"
"KM4NLF","3113468"
"WX4PCS","3113472"
"K4WCL","3113502"
"K4YNA","3113510"
"KM4RKT","3113521"
"WW8RR","3113537"
"K4FUM","3113552"
"KT4CV","3113559"
"K4EGA","3113561"
"KK4GXP","3113574"
"N4NEQ","3113582"
"N1RVN","3113593"
"W4BXA","3113618"
"W1CY","3113653"
"WA4ASI","3113658"
"KI4GWT","3113659"
"KI4GWT","3113660"
"N4MPC","3113672"
"KN4FRS","3113682"
"WX4LEC","3113684"
"K4TGC","3113697"
"KN4GTA","3113709"
"AG4ZR","3113714"
"KK4ASA","3113730"
"K4IO","3113735"
"KG4ETI","3113738"
"KD4LZL","3113751"
"KI4UTY","3113758"
"KD4EXY","3113769"
"KG4TEP","3113781"
"W4JNM","3113819"
"N4ARY","3113844"
"KM4BA","3113868"
"KJ4DBY","3113903"
"W4RWJ","3113933"
"K4XRC","3113945"
"KN4MSH","3114083"
"KN4DRW","3114205"
"KE0OYO","3116620"
"KN4HKB","3116827"
"KN2TOD","3116847"
"N0MEI","3120389"
"NZ2Z","3120747"
"KK4ZNJ","3121068"
"KB4OIF","3121744"
"KN4MUH","3121799"
"WA4UJC","3122677"
"W1MKW","3122978"
"KM4HDM","3122986"
"N4SFU","3123682"
"WA4GIM","3123824"
"KC4CID","3124763"
"KC4SFS","3124878"
"K4CGA","3124961"
"KN4DLY","3127836"
"KK4WTL","3128219"
"KB0TCS","3128347"
"WY4X","3128412"
"K4CGA","3128532"
"KG4DQE","3129865"
"KN4RVV","3129893"
"W4ADR","3130176"
"KN4BYB","3130823"
"KJ4PLJ","3131858"
"KJ4LY","3132773"
"AI4AK","3135564"
"K4CQO","3135898"
"KJ4ZDB","3135993"
"N5IDK","3138513"
"KC3MSC","3138863"
"W5JHC","3140789"
"KJ4PEO","3141705"
"KB3ZTB","3142398"
"KZ4FOX","3143152"
"K1ATF","3143233"
"KN4SNH","3143456"
"KN4ODS","3144232"
"K4PU","3144668"
"WC4EE","3144890"
"K4VAT","3146447"
"KT4VQ","3146449"
"KX4PA","3146685"
"KC4JOE","3147274"
"W2XAB","3147700"
"N0HPU","3149318"
"KB4SGA","3149414"
"KK4WTO","3149608"
"KN4VQY","3150225"
"KJ4NPB","3151080"
"KN4YZP","3154423"
"KD2SXD","3154701"
"KI4KGK","3154924"
"N4LES","3155824"
"KW3NEW","3156075"
"KM4JLM","3156251"
"KC4ZUA","3156434"
"KW3NEW","3156535"
"KV0A","3156615"
"KK4YPU","3156946"
"KE4BMR","3157367"
"WD4NET","3157783"
"N4BWW","3158987"
"N1TKN","3159039"
"KM4EQA","3159341"
"KI5CPT","3160454"
"AD5DC","3160700"
"N4LIT","3160861"
"N3SJ","3160968"
"W4LRA","3161363"
"KN4RNO","3161378"
"KN4TQQ","3161485"
"KC2MRW","3161769"
"ND6Q","3161872"
"KE4TAY","3161884"
"KO4BUT","3162254"
"KI4NWE","3162498"
"K4JSP","3162541"
"KO4BGJ","3162588"
"KC0ZHB","3162816"
"KE4QDC","3162882"
"KK4RIR","3163259"
"KK4NEJ","3163266"
"KO4AYL","3163307"
"N4PNN","3163369"
"KO4CUQ","3163427"
"N6ELX","3163624"
"KK4BCD","3163640"
"KM4UDP","3163814"
"KJ4GRK","3163838"
"N7BU","3164231"
"K4KPW","3164610"
"KC2CWS","3165184"
"4Z5OY","4253017"
